marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,averagePrice,context
1,5405660,2025-02-04 08:35:48,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,98259,0.003,0.003,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98455.9,
1,5383221,2025-02-04 07:14:17,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,97950.3,0.003,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'last_price': {'below': '98146.60000000'}},,
1,5382997,2025-02-04 07:13:27,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,102908.2,0.003,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'last_price': {'above': '103114.50000000'}},,
1,5374750,2025-02-04 06:42:23,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,99338.2,0.003,0.003,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,99140,
1,5339222,2025-02-04 04:30:44,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,100570.5,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,100369.8,
1,5338903,2025-02-04 04:29:23,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,100166.5,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,100367.2,
2,35165,2025-01-26 04:42:25,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,3362.35,0.091,0.091,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,3355.74153846153846153846,
2,34384,2025-01-26 04:14:59,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,3336.57,0.091,0.091,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,3342.46076923076923076923,
1,479665,2025-01-26 03:55:18,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,104825.3,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,105035.3,
1,438540,2025-01-26 03:09:47,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,104967.9,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,104758.4,
1,438250,2025-01-26 02:52:08,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,104590.8,0.002,0,conditionally_canceled,"{'timeInForce': 'fill_or_kill', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'mark_price': {'below': '104577.00000000'}},,
1,438225,2025-01-26 02:50:25,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,104799.9,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,104590.8,
1,438206,2025-01-26 02:48:59,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,104393.8,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'mark_price': {'below': '104603.00000000'}},104607.9,
