marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,averagePrice,context
1,9482508,2025-02-13 04:35:05,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,97009.8,0.001,0.001,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97204.2,
1,9480107,2025-02-13 04:29:01,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,97131.6,0.006,0.006,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97326.1,
1,9480028,2025-02-13 04:28:54,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,97134.5,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97329.1,
1,9455514,2025-02-13 02:47:02,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,97796.6,0.005,0.005,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97601.4,
1,6770483,2025-02-07 09:40:41,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,97449.7,0.004,0.004,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97255.2,
1,6746306,2025-02-07 08:41:17,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,97192.9,0.013,0.013,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'last_price': {'above': '96999.00000000'}},97000.7,
1,6746139,2025-02-07 07:46:03,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,90180,0.013,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'last_price': {'below': '90000.00000000'}},,
1,6746011,2025-02-07 07:45:41,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,96832.1,0.003,0.003,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,96832.1,
1,6669246,2025-02-07 03:10:23,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,97409.6,0.007,0.007,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,97604.8,
1,6323846,2025-02-06 10:37:05,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,98974.2,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98776.7,
1,6250345,2025-02-06 06:44:03,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,98067.4,0.006,0.006,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98263.9,
1,5417264,2025-02-04 09:18:09,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,98246.5,0.005,0.005,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98443.3,
1,5417259,2025-02-04 09:17:58,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,98246.9,0.001,0.001,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98443.7,
1,5389707,2025-02-04 07:37:47,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,99145.5,0.007,0.007,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,98947.7,
2,34807,2025-01-26 04:30:42,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,3349.98,0.030,0.03,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,3356.69,
1,514416,2025-01-26 04:30:42,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,105104.4,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,105315,
2,33684,2025-01-26 03:47:51,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,3325,0.043,0.043,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,3345.54,
2,33404,2025-01-26 03:39:08,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,3342.21,0.073,0.073,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,3336.01068493150684931507,
2,33369,2025-01-26 03:37:51,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,3324,0.090,0,canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,33332,2025-01-26 03:36:20,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,3336,0.080,0,conditionally_canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
1,443788,2025-01-26 03:19:25,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,105048.8,0.002,0.002,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,104839.2,
2,3911,2025-01-25 11:17:33,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,3284.41,0.429,0.429,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,3290.4162703962703962704,
1,419824,2025-01-25 10:39:07,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,104425,0.009,0,conditionally_canceled,"{'timeInForce': 'fill_or_kill', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,37,2025-01-25 10:04:08,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,3280.1,0.100,0.10,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,3280.1,
1,417284,2025-01-25 08:46:15,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,104121.4,0.001,0.001,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",{'mark_price': {'above': '104330.00000000'}},104325.9,
