marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,averagePrice,context
2,21228793,2025-02-26 23:20:41,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2332.91,0.5,0.500,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2332.91,
2,21228796,2025-02-26 23:20:18,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2356.3,0.5,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '2344.58000000'}},,
2,21228791,2025-02-26 23:20:18,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2327.04,0.5,0.5,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2338.74,
1,18939235,2025-02-26 22:32:55,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,84302.5,0.005,0.005,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,84302.5,
1,18939238,2025-02-26 22:30:01,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,85063.2,0.005,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '84640.00000000'}},,
1,18939233,2025-02-26 22:30:01,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,84048.7,0.005,0.005,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,84471.1,
1,18920661,2025-02-26 22:28:14,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,84549.3,0.005,0.005,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,84549.3,
1,18920663,2025-02-26 22:18:53,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,85312.1,0.005,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '84887.70000000'}},,
1,18920659,2025-02-26 22:18:53,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,84294.7,0.005,0.005,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,84717.86,
2,21173988,2025-02-26 22:07:54,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2376.22,0.5,0.500,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2376.22,
1,18897707,2025-02-26 22:07:48,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,85150.9,0.005,0.005,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,85150.9,
2,21173989,2025-02-26 22:07:38,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2400.05,0.5,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '2388.11000000'}},,
2,21173987,2025-02-26 22:07:38,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2370.24,0.5,0.5,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2382.15024,
1,18897712,2025-02-26 22:07:04,CRYPTO_BTC_PERP,0.10000000,0.00100000,True,85919.2,0.005,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '85491.80000000'}},,
1,18897702,2025-02-26 22:07:04,CRYPTO_BTC_PERP,0.10000000,0.00100000,False,84894.5,0.005,0.005,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,85321.2,
