marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,averagePrice,context
2,12920058,2/17/2025 21:12,CRYPTO_ETH_PERP,0.01,0.001,FALSE,2736.29,0.22,0.22,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2741.77,
2,12891386,2/17/2025 20:28,CRYPTO_ETH_PERP,0.01,0.001,TRUE,2743.77,0.22,0.22,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2738.27,
1,12228941,2/17/2025 13:45,CRYPTO_BTC_PERP,0.1,0.001,FALSE,96192.2,0.004,0.004,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,96384.9,
1,12218456,2/17/2025 13:06,CRYPTO_BTC_PERP,0.1,0.001,TRUE,96530.1,0.004,0.004,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,96337.5,
2,12549152,2/17/2025 12:58,CRYPTO_ETH_PERP,0.01,0.001,FALSE,2763.02,0.229,0.229,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2768.55,
2,12549126,2/17/2025 12:57,CRYPTO_ETH_PERP,0.01,0.001,TRUE,2774.47,0.229,0.229,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2768.94,
2,12549092,2/17/2025 12:57,CRYPTO_ETH_PERP,0.01,0.001,FALSE,2762.97,0.237,0.237,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2768.5,
2,12549020,2/17/2025 12:57,CRYPTO_ETH_PERP,0.01,0.001,TRUE,2774.41,0.237,0.237,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2768.88,
2,12548414,2/17/2025 12:57,CRYPTO_ETH_PERP,0.01,0.001,FALSE,2763.34,0.1,0.1,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2768.87,
2,12135798,2/17/2025 2:14,CRYPTO_ETH_PERP,0.01,0.001,TRUE,2683.18,0.1,0.1,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2677.83,
2,12132879,2/17/2025 2:08,CRYPTO_ETH_PERP,0.01,0.001,FALSE,2672.02,0.105,0.105,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2677.37,
2,12131408,2/17/2025 2:06,CRYPTO_ETH_PERP,0.01,0.001,TRUE,2684.63,0.105,0.105,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2679.36,
