marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,averagePrice,context
2,19506285,2025-02-25 08:08:22,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2383.04,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2383.04,
2,19506288,2025-02-25 08:08:09,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2359.32,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2371.18000000'}},,
2,19506281,2025-02-25 08:08:09,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2388.99,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2376.9,
2,19503475,2025-02-25 08:05:59,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2387.4,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2387.4,
2,19503477,2025-02-25 08:04:57,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2363.64,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2375.52000000'}},,
2,19503474,2025-02-25 08:04:56,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2393.36,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2381.47,
2,19500100,2025-02-25 08:01:11,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2368.29,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2368.29,
2,19500101,2025-02-25 08:01:03,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2344.71,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2356.50000000'}},,
2,19500099,2025-02-25 08:01:03,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2374.21,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2363.77,
2,19489631,2025-02-25 07:49:08,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2387.48,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2387.48,
2,19489633,2025-02-25 07:48:44,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2363.72,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2375.60000000'}},,
2,19489628,2025-02-25 07:48:44,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2393.44,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2381.54,
2,19487428,2025-02-25 07:46:46,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2359.92,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2371.78000000'}},2371.57,
2,19487427,2025-02-25 07:46:00,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2383.64,0.25,0,canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,19487426,2025-02-25 07:46:00,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2389.59,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2377.71,
2,19486822,2025-02-25 07:45:34,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2368.31,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2368.31,
2,19486826,2025-02-25 07:45:23,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2344.73,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2356.52000000'}},,
2,19486819,2025-02-25 07:45:23,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2374.23,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2362.42,
2,19485003,2025-02-25 07:43:34,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2361.65,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2361.65,
2,19485004,2025-02-25 07:43:07,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2338.15,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2349.90000000'}},,
2,19485002,2025-02-25 07:43:07,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2367.55,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2355.78824,
2,19482381,2025-02-25 07:41:23,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2351.15,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2362.97000000'}},2360.13,
2,19482380,2025-02-25 07:40:06,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2374.79,0.25,0,canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,19482379,2025-02-25 07:40:06,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2380.72,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2368.88,
2,19481093,2025-02-25 07:38:56,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2352.95,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2352.95,
2,19481095,2025-02-25 07:38:40,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2329.53,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2341.24000000'}},,
2,19481092,2025-02-25 07:38:40,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2358.83,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2347.1,
2,19480586,2025-02-25 07:38:13,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2339.85,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2339.85,
2,19480587,2025-02-25 07:38:06,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2316.55,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2328.20000000'}},,
2,19480583,2025-02-25 07:38:06,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2345.7,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2334.03,
2,19479846,2025-02-25 07:37:20,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2341.49,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2341.49,
2,19479847,2025-02-25 07:37:15,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2364.96,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'above': '2353.20000000'}},,
2,19479844,2025-02-25 07:37:15,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2335.6,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2347.34,
2,19478653,2025-02-25 07:36:06,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2346.26,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2346.26,
2,19478655,2025-02-25 07:35:56,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2322.9,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2334.58000000'}},,
2,19478652,2025-02-25 07:35:56,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2352.12,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2340.97,
2,19478191,2025-02-25 07:35:38,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2335.56,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2335.56,
2,19478192,2025-02-25 07:35:19,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2312.32,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2323.94000000'}},,
2,19478190,2025-02-25 07:35:19,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2341.39,0.25,0.25,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,2329.8628,
2,19474326,2025-02-25 07:31:19,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2376.63,0.25,0.250,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,2376.63,
2,19474328,2025-02-25 07:31:08,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2352.97,0.25,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",{'last_price': {'below': '2364.80000000'}},,
